DATEEND,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2022/01/10 00:00:00+00,22113627,1200,1200,300 E  ONONDAGA ST,LARCENY,,All Other,11404
2022/01/29 00:00:00+00,22900090,1100,1100,300 E  WASHINGTON ST,LARCENY,,From Motor Vehicle,11405
2022/01/26 00:00:00+00,22144905,1557,1557,300 E  WILLOW ST,LARCENY,,All Other,11406
2022/01/17 00:00:00+00,22120838,0219,0219,300 ELM ST,AGGRAVATED ASSAULT,,,11407
2022/03/05 00:00:00+00,22187994,2005,2005,300 FABIUS ST,MV THEFT,,Motor Vehicle,11408
2022/02/21 00:00:00+00,22170118,1800,0800,300 FARMER ST,BURGLARY,,From Building,11409
2022/02/05 00:00:00+00,22147824,1345,1825,300 FOBES,LARCENY,Yes,All Other,11410
2022/01/01 00:00:00+00,22101346,2200,0700,300 FOBES AV,LARCENY,,From Motor Vehicle,11411
2022/01/15 00:00:00+00,22119716,1800,1800,300 GARFIELD AV,MV THEFT,,Motor Vehicle,11412
2022/03/12 00:00:00+00,22197584,0610,0610,300 GIFFORD ST,BURGLARY,Yes,,11413
2022/01/17 00:00:00+00,22121739,2019,2019,300 GIFFORD ST,ROBBERY,,All Other,11414
2022/04/08 00:00:00+00,22239291,1920,1920,300 GIFFORD ST,ROBBERY,,All Other,11415
2022/02/28 00:00:00+00,22900148,1345,1600,300 GIFFORD ST,LARCENY,,All Other,11416
2022/02/22 00:00:00+00,22172166,1536,1536,300 GIFFORD ST,AGGRAVATED ASSAULT,Yes,,11417
2022/04/07 00:00:00+00,22237727,1940,1940,300 GLENWOOD,AGGRAVATED ASSAULT,Yes,,11418
2022/02/07 00:00:00+00,22150478,1600,1054,300 GREEN ST,MV THEFT,,Motor Vehicle,11419
2022/03/05 00:00:00+00,22900166,1950,1940,300 GREEN ST,LARCENY,,All Other,11420
2022/01/16 00:00:00+00,22120306,1634,1634,300 GREENWOOD PL,LARCENY,,,11421
2022/01/17 00:00:00+00,22120793,0108,0108,300 HAWLEY AV,BURGLARY,Yes,,11422
2022/02/28 00:00:00+00,22179680,1200,0800,300 HAWLEY AV,BURGLARY,,All Other,11423
2022/01/26 00:00:00+00,22158198,0000,0000,300 HELEN ST,BURGLARY,,From Building,11424
2022/01/18 00:00:00+00,22122722,1200,1500,300 HELEN ST,LARCENY,,All Other,11425
2022/02/19 00:00:00+00,22167352,2130,0030,300 HIAWATHA BLVD,LARCENY,,Motor Vehicle,11426
2022/03/19 00:00:00+00,22207812,0021,0021,300 HIAWATHA BLVD,LARCENY,,All Other,11427
2022/03/26 00:00:00+00,22219606,2133,2133,300 HIAWATHA BLVD W,AGGRAVATED ASSAULT,,,11428
2022/01/23 00:00:00+00,22130014,1230,1840,300 HIAWATHA BLVD W,LARCENY,,From Motor Vehicle,11429
2022/01/24 00:00:00+00,22900069,2025,1430,300 HIAWATHA BLVD W,LARCENY,,All Other,11430
2022/01/16 00:00:00+00,22119986,0504,0516,300 HIER AV,LARCENY,,From Motor Vehicle,11431
2022/02/01 00:00:00+00,22141505,0557,0557,300 HIGHLAND AV,BURGLARY,,From Building,11432
2022/01/21 00:00:00+00,22900060,2350,2350,300 HIGHLAND AVE,LARCENY,,From Motor Vehicle,11433
2022/02/15 00:00:00+00,22162720,2145,2145,300 HUDSON ST,LARCENY,,From Motor Vehicle,11434
2022/02/24 00:00:00+00,22900133,1900,1000,300 IVY RIDGE RD,LARCENY,,From Motor Vehicle,11435
2022/01/16 00:00:00+00,22119723,0437,0437,300 JAMESVILLE AV,LARCENY,,From Motor Vehicle,11436
2022/01/17 00:00:00+00,22900053,1348,1510,300 JAMESVILLE AV,LARCENY,,All Other,11437
2022/02/17 00:00:00+00,22164625,0825,0832,300 KINNE ST,MV THEFT,,Motor Vehicle,11438
2022/01/31 00:00:00+00,22140253,1015,1015,300 LODI ST,AGGRAVATED ASSAULT,Yes,,11439
2022/04/01 00:00:00+00,22234348,1200,1200,300 MONTGOMERY ST,LARCENY,,All Other,11440
2022/03/21 00:00:00+00,22211742,1630,1705,300 MONTGOMERY ST,MV THEFT,,Motor Vehicle,11441
2022/02/21 00:00:00+00,22900127,0900,0930,300 MONTICELLO DR   N,LARCENY,,From Building,11442
2022/02/05 00:00:00+00,22147216,0127,0127,300 N  CLINTON ST,AGGRAVATED ASSAULT,Yes,,11443
